file	line	surface	text
scripts/Battelog/awards.js	218	ui-label	SURVIVOR
scripts/Battelog/awards.js	228	ui-label	UNTOUCHABLE
scripts/Battelog/awards.js	242	ui-label	REDLINE
scripts/Battelog/awards.js	252	ui-label	DUELIST
scripts/Battelog/awards.js	262	ui-label	CROWD CONTROL
scripts/Battelog/awards.js	272	ui-label	LIGHTNING ROD
scripts/Battelog/awards.js	282	ui-label	REFLEX
scripts/Battelog/awards.js	292	ui-label	RECON
scripts/Battelog/awards.js	302	ui-label	ARSONIST
scripts/Battelog/awards.js	322	ui-label	COOL HEAD
scripts/Battelog/awards.js	332	ui-label	GREASE MONKEY
scripts/Battelog/awards.js	21	prose-field	Confirmed three or more enemy chassis destroyed
scripts/Battelog/awards.js	31	prose-field	Dealt the most physical damage across the engagement
scripts/Battelog/awards.js	41	prose-field	Overheated enemy reactors more than anyone else
scripts/Battelog/awards.js	51	prose-field	Absorbed the most physical damage without breaking
scripts/Battelog/awards.js	61	prose-field	Weathered the most incoming reactor heat
scripts/Battelog/awards.js	71	prose-field	Enabled the squad’s kills through positioning and tech
scripts/Battelog/awards.js	81	prose-field	Covered the most ground in a single round
scripts/Battelog/awards.js	91	prose-field	Highest hit rate on weapon attacks
scripts/Battelog/awards.js	108	prose-field	Highest hit rate on tech attacks
scripts/Battelog/awards.js	124	prose-field	Evaded the most incoming attacks
scripts/Battelog/awards.js	134	prose-field	Blocked the most incoming tech through e-defense
scripts/Battelog/awards.js	144	prose-field	Highest H.A.S.E success rate
scripts/Battelog/awards.js	160	prose-field	Landed the most critical hits
scripts/Battelog/awards.js	170	prose-field	Knocked enemies around more than anyone else
scripts/Battelog/awards.js	180	prose-field	Most actions taken in a single turn
scripts/Battelog/awards.js	190	prose-field	Drew first blood of the engagement
scripts/Battelog/awards.js	200	prose-field	Destroyed the enemies that took squadmates down
scripts/Battelog/awards.js	210	prose-field	Landed the single biggest hit of the battle
scripts/Battelog/awards.js	220	prose-field	Walked away closest to death
scripts/Battelog/awards.js	230	prose-field	Under fire all mission without taking a scratch
scripts/Battelog/awards.js	244	prose-field	Rode the danger zone without stressing out
scripts/Battelog/awards.js	254	prose-field	Landed the most melee hits
scripts/Battelog/awards.js	264	prose-field	Hit the most separate targets in one round
scripts/Battelog/awards.js	274	prose-field	Drew more enemy fire than anyone else
scripts/Battelog/awards.js	284	prose-field	Used the most reactions
scripts/Battelog/awards.js	294	prose-field	Scanned the most enemy signatures
scripts/Battelog/awards.js	304	prose-field	Spread the most burn and infection
scripts/Battelog/awards.js	324	prose-field	Vented the most reactor heat
scripts/Battelog/awards.js	334	prose-field	Recovered the most hit points in the field
scripts/Battelog/gm-card.js	74	dialog-title	Battle Log · GM
scripts/Battelog/intro-terminal.js	405	ui-label	> parsing battlefield telemetry ..........
scripts/Battelog/intro-terminal.js	406	ui-label	> reconstructing engagement timeline .....
scripts/Battelog/intro-terminal.js	407	ui-label	> hostiles encountered ...................
scripts/Battelog/intro-terminal.js	409	ui-label	> tallying confirmed kills ...............
scripts/Battelog/intro-terminal.js	414	ui-label	> squad general efficiency ...............
scripts/Battelog/intro-terminal.js	419	ui-label	> structural integrity ...................
scripts/Battelog/intro-terminal.js	426	ui-label	> squad integrity check ..................
scripts/Battelog/intro-terminal.js	431	ui-label	> designating match MVP ..................
scripts/Battelog/intro-terminal.js	432	ui-label	> computing engagement result ............
scripts/Battelog/intro-terminal.js	274	prose-field	LANCER // BATTLE LOG ANALYSIS
scripts/Battelog/recap.js	139	dialog-title	Battle Log · Recap
scripts/Battelog/recap.js	1281	dialog-title	Confirmed Kills
scripts/Battelog/recap.js	1286	dialog-title	Assisted Kills
scripts/Battelog/recap.js	1298	dialog-title	Actions Used
scripts/Battelog/recap.js	1309	dialog-title	Movement
scripts/Battelog/recap.js	1320	dialog-title	Repairs
scripts/Battelog/recap.js	1341	dialog-title	Damage Dealt
scripts/Battelog/recap.js	1353	dialog-title	Damage Taken
scripts/Battelog/recap.js	1366	dialog-title	Attacks & Tech
scripts/Battelog/recap.js	1378	dialog-title	Attacks Avoided
scripts/Battelog/recap.js	1387	dialog-title	Accuracy
scripts/Battelog/recap.js	1443	dialog-title	Weapons Used
scripts/Battelog/recap.js	1449	dialog-title	Actions Used
scripts/Battelog/recap.js	1603	dialog-title	DESTROYED BY
scripts/Battelog/share-image.js	256	notification	Battle Log card copied to clipboard.
scripts/Battelog/share-image.js	301	notification	Clipboard copy failed: ${err.message}
scripts/Battelog/share-image.js	308	notification	Saved ${name}.
scripts/Battelog/share-image.js	314	notification	Could not save the file: ${err.message}
scripts/Battelog/share-image.js	420	notification	Portrait could not be embedded (remote image); card exported without it.
scripts/Battelog/share-image.js	425	notification	Battle Log card export failed: ${err.message}
scripts/Battelog/share-image.js	289	dialog-title	Battle Log · Share Card
scripts/Battelog/share-image.js	388	text-node	Lancer Automations · Battle Log
scripts/Battelog/telemetry-debug.js	192	notification	Telemetry JSON copied.
scripts/Battelog/telemetry-debug.js	155	dialog-title	Battle Log · Telemetry Debug
scripts/Battelog/telemetry-debug.js	156	html-content	<div class="battelog-debug-body">${_contentHtml()}</div>
scripts/bonuses/duration-widget.js	68	dialog-title	Pick Token
scripts/bonuses/duration-widget.js	69	prose-field	Select a token on the map to update the field.
scripts/bonuses/effectManager.js	762	notification	Please select a target token first.
scripts/bonuses/effectManager.js	769	notification	${targetToken.name} has no valid items.
scripts/bonuses/effectManager.js	2214	notification	Name is required to save a status.
scripts/bonuses/effectManager.js	2216	notification	Icon is required to save a status.
scripts/bonuses/effectManager.js	2235	notification	Saved "${name}" to custom statuses.
scripts/bonuses/effectManager.js	2305	notification	Saved preset "${name}".
scripts/bonuses/effectManager.js	2319	notification	Loaded preset "${name}".
scripts/bonuses/effectManager.js	2327	notification	Select a preset to delete first.
scripts/bonuses/effectManager.js	2335	notification	Deleted preset "${name}".
scripts/bonuses/effectManager.js	2368	notification	That tab is not available.
scripts/bonuses/effectManager.js	2384	notification	Deleted preset "${name}".
scripts/bonuses/effectManager.js	2466	notification	Active Effect Changes could not be parsed; left out of the snippet.
scripts/bonuses/effectManager.js	2496	notification	Copied to clipboard.
scripts/bonuses/effectManager.js	2549	notification	Extract failed: ${err.message}
scripts/bonuses/effectManager.js	2617	notification	Applied ${effectName} to ${_emTargetLabel(liveTokens)}.
scripts/bonuses/effectManager.js	2624	notification	Target not found!
scripts/bonuses/effectManager.js	2634	notification	Applied ${effectName} to ${doc.name}${doc.documentName === 'Item' ? ' (item)' : ' (prototype)'}.
scripts/bonuses/effectManager.js	2652	notification	Name is required!
scripts/bonuses/effectManager.js	2680	notification	Active Effect Changes must be an array.
scripts/bonuses/effectManager.js	2685	notification	Active Effect Changes parse error: ${err.message}
scripts/bonuses/effectManager.js	2715	notification	Applied ${name} to ${_emTargetLabel(liveTokens)}.
scripts/bonuses/effectManager.js	2722	notification	Target not found!
scripts/bonuses/effectManager.js	2732	notification	Applied ${name} to ${doc.name}${doc.documentName === 'Item' ? ' (item)' : ' (prototype)'}.
scripts/bonuses/effectManager.js	3149	notification	Please select a target token on the map, or fill in the 'Apply to tokens' field first, to pick an item from them.
scripts/bonuses/effectManager.js	3156	notification	${targetToken.name} has no valid items.
scripts/bonuses/effectManager.js	3417	notification	Target not found!
